BASKETID,BASKETTYPE,latitude,longitude,STREETNAME1,STREETNAME2,SECTION
30220058,S,40.6909738023,-73.9937881897,CLINTON ST,STATE ST,BKN022
31410011,S,40.6422743861,-73.962512184,CORTELYOU RD,E 17 ST,BKS141
30220211,C,40.6904914271,-73.9853448253,FULTON ST,HOYT ST,BKN022
31550051,D,40.5955901998,-73.9648539563,AV V,OCEAN PKWY,BKS155
30230055,R,40.6857461343,-73.9727591345,FULTON ST,GREENE AV,BKN023
30730039,S,40.6475532744,-74.0110744915,4 AV,48 ST,BKS073
31040057,H,40.6234603575,-74.0038467568,13 AV,BAY RIDGE AV,BKS104
31030027,S,40.6177285809,-74.033193627,3 AV,94 ST,BKS103
30910068,S,40.6673440253,-73.9509321758,NOSTRAND AV,CARROLL ST,BKN091
31030038,S,40.6196304608,-74.0324105671,3 AV,92 ST,BKS103
30310101,S,40.6940462328,-73.95908329,MYRTLE AV,KENT AV,BKN031
31030127,D,40.6116794961,-74.0349249409,4 AV,SHORE RD,BKS103
30320087,R,40.6889974164,-73.9570270632,FRANKLIN AV,LAFAYETTE AV,BKN032
30210097,H,40.6946107553,-73.9942045544,MONTAGUE ST,HENRY ST,BKN021
31030043,S,40.6212264267,-74.031796292,3 AV,89 ST,BKS103
31250060,S,40.6477424532,-73.9733562643,CATON AV,E 7 ST,BKS125
31610155,S,40.67414038,-73.9168831165,SARATOGA AV,BERGEN ST,BKN161
30640093,S,40.6706084824,-73.9853529846,5 AV,7 ST,BKS064
30920039,H,40.6623708988,-73.9346247583,SCHENECTADY AV,E NEW YORK AV,BKN092
30710072,D,40.6596565706,-73.9764847226,Street Name TBD,,BKS071
31520052,S,40.5995768962,-73.9511678293,OCEAN AV,AV U,BKS152
30930020,S,40.6600339966,-73.9603762765,FLATBUSH AV,MAPLE ST,BKN093
30930040,S,40.6605839242,-73.9344928792,SCHENECTADY AVE,RUTLAND RD,BKN093
30810047,S,40.6716321007,-73.9610292482,CLASSON AV,EASTERN PKWY,BKN081
30220167,H,40.6913570163,-73.9978386792,ATLANTIC AV,HICKS ST,BKN022
31040018,S,40.6157581842,-74.0124147176,13 AV,83 ST,BKS104
31440063,S,40.6177058536,-73.9640631763,CONEY ISLAND AV,AV M,BKS144
30740050,S,40.6350970506,-74.01025171,8 AV,61 ST,BKS074
30540095,S,40.6670198489,-73.8992586079,BLAKE AV,HINSDALE ST,BKN054
30830009,R,40.6722423529,-73.9306489652,UTICA AV,PARK PL,BKN083
30720039,S,40.6510090359,-74.0038365501,5 AV,39 ST,BKS072
31810041,R,40.6384329018,-73.8952507973,ROCKAWAY PKWY,AV L,BKS181
30130012,R,40.7239048737,-73.9495917942,NASSAU AV,LEONARD ST,BKN013
31740098,S,40.6470078589,-73.9489909295,NOSTRAND AV,TILDEN AV,BKN174
31520015,S,40.5998493884,-73.9454356942,AV U,E 26 ST,BKS152
30640035,R,40.6735827882,-73.9828352423,5 AV,2 ST,BKS064
30620056,S,40.6844538166,-74.0027642125,COLUMBIA ST,UNION ST,BKS062
30210089,S,40.6923104035,-73.9850882034,BRIDGE ST,WILLOUGHBY ST,BKN021
31320156,S,40.5758619369,-73.9934948399,MERMAID AV,W 27 ST,BKS132
31410027,H,40.6498684318,-73.9624619871,CHURCH AV,ST PAULS PLACE,BKS141
30130043,R,40.7250645318,-73.9463344605,NASSAU AV,DIAMOND ST,BKN013
30350073,S,40.685440735,-73.9234355794,RALPH AV,HANCOCK ST,BKN035
31610089,S,40.6581111821,-73.9075980514,ROCKAWAY AV,LOTT AV,BKN161
30340008,R,40.6843976818,-73.9351680496,LEWIS AV,HANCOCK ST,BKN034
30820068,S,40.6714614042,-73.9446477251,ST JOHNS PLACE,BROOKLYN AV,BKN082
30820009,R,40.672651636,-73.9500157011,NOSTRAND AV,STERLING PL,BKN082
30540082,S,40.6632018154,-73.8895327009,NEW LOTS AV,BRADFORD ST,BKN054
30620045,R,40.6889605722,-73.9928793653,COURT ST,PACIFIC ST,BKS062
30210152,S,40.6990440273,-73.9939028139,ORANGE ST,HICKS ST,BKN021
31210048,S,40.6311491037,-73.9959543489,13 AVE,56 ST,BKS121
30230035,S,40.6827997452,-73.9618658528,PUTNAM AV,GRAND AV,BKN023
30310025,R,40.695458941,-73.9432322997,THROOP AV,VERNON AV,BKN031
31750031,S,40.6423375481,-73.9285629984,AV D,E 51 ST,BKN175
30240046,R,40.6937029406,-73.964832883,MYRTLE AV,RYERSON ST,BKN024
30330125,R,40.6901730366,-73.9366371951,LEWIS AV,GREENE AV,BKN033
30410042,R,40.7025576219,-73.9293311879,WILSON AV,MELROSE ST,BKN041
31550013,S,40.598045936,-73.9619558718,AV U,E 9 ST,BKS155
30820092,H,40.6717639037,-73.950117834,NOSTRAND AV,ST JOHNS PLACE,BKN082
31130019,S,40.6076197272,-74.0019034077,NEW UTRECHT AV,85 ST,BKS113
30710070,D,40.6503043189,-73.9740140066,Street Name TBD,,BKS071
30510077,S,40.6723381051,-73.8938319436,PITKIN AV,VERMONT ST,BKN051
30640127,D,40.6719235349,-73.9705137647,Street Name TBD,,BKS064
31610042,S,40.6571529396,-73.9139680472,E 98 ST,LOTT AV,BKN161
31320209,S,40.578932969,-73.9839049612,NEPTUNE AV,W 16 ST,BKS132
30640067,S,40.672092026,-73.9841152622,5 AV,4 ST,BKS064
31530062,S,40.5875786294,-73.9544379652,SHEEPSHEAD BAY RD,E 15 ST,BKS153
30140055,S,40.70931292,-73.9610150799,ROEBLING ST,S 8 ST,BKN014
30830153,S,40.6766070117,-73.9330017145,SCHENECTADY AV,PACIFIC ST,BKN083
31430055,S,40.6309105504,-73.9472930289,Street Name TBD,,BKS143
31620170,S,40.6773885324,-73.9058175862,HERKIMER ST,SACKMAN ST,BKN162
30310033,R,40.6955297599,-73.9494515446,MYRTLE AV,MARCY AV,BKN031
31620013,S,40.6637450094,-73.921301498,E 98 ST,BLAKE AV,BKN162
30510149,R,40.6804384418,-73.8826885018,FULTON ST,ESSEX ST,BKN051
31620057,S,40.6682829989,-73.9102142918,ROCKAWAY AV,BELMONT AV,BKN162
30720100,S,40.6549748572,-74.0051248986,Street Name TBD,,BKS072
31010029,S,40.6360477042,-74.0231572649,4 AV,SENATOR ST,BKS101
31520036,H,40.6096656084,-73.9557196886,KINGS HWY,E 18 ST,BKS152
30740042,S,40.6388558147,-74.0171071188,5 AV,61 ST,BKS074
30410015,R,40.7030358721,-73.9261003793,KNICKERBOCKER AV,TROUTMAN ST,BKN041
30720082,S,40.6531666792,-74.0058781786,38 ST,4 AV,BKS072
31410035,S,40.6527499127,-73.9590411447,FLATBUSH AV,CATON AV,BKS141
30920091,H,40.663864194,-73.9424958967,EMPIRE BLVD,KINGSTON AV,BKN092
30420010,R,40.7004280095,-73.9209134719,KNICKERBOCKER AV,STANHOPE ST,BKN042
30220196,C,40.6887505011,-73.9810318326,FLATBUSH AV,NEVINS ST,BKN022
30210005,H,40.6943423003,-73.9873701958,Street Name TBD,,BKN021
30310041,S,40.6942756942,-73.9568851847,MYRTLE AV,SKILLMAN ST,BKN031
31620193,D,40.6619635337,-73.9143809277,LIVONIA AV,STRAUSS ST,BKN162
31160005,S,40.6041274622,-73.9732003707,KINGS HWY,LAKE ST,BKS116
30420031,R,40.7012059006,-73.9139017117,WYCKOFF AV,MENAHAN ST,BKN042
30910010,R,40.6658998272,-73.9312020897,UTICA AV,CARROLL ST,BKN091
30150092,S,40.7057347248,-73.9464231023,LEONARD ST,BOERUM ST,BKN015
30640083,S,40.6767928943,-73.9831349101,4 AV,PRESIDENT ST,BKS064
31410073,S,40.649265122,-73.9638397521,CHURCH AV,E 17 ST,BKS141
30220016,H,40.6899138491,-73.9880249718,SMITH ST,SCHERMERHORN ST,BKN022
30930015,S,40.658541991,-73.9501830561,NOSTRAND AV,FENIMORE ST,BKN093
